,0
S2,23.06344671201814
S1,23.921904761904763
S2,23.854036281179138
S1,24.723650793650794
S2,24.655351473922902
S1,25.512743764172335
S2,25.456666666666667
S1,26.3143537414966
S2,26.25809523809524
S1,27.116281179138323
S2,27.059569160997732
S1,27.917868480725623
S2,27.860997732426306
S1,28.719705215419502
S2,28.651655328798185
S1,29.52095238095238
S2,29.453038548752836
S1,30.32310657596372
S2,30.254376417233562
S1,31.111836734693878
S2,31.055827664399093
S1,31.913628117913834
S2,31.85716553287982
S1,32.715215419501135
S2,32.65859410430839
S1,33.51687074829932
S2,33.460090702947845
S1,34.31873015873016
S2,34.250589569161
S1,35.120385487528345
S2,35.051859410430836
S1,35.909297052154194
S2,35.85321995464853
S1,36.710952380952385
S2,36.65471655328798
S1,37.512630385487526
S2,37.456099773242634
S1,38.31448979591837
S2,38.2575283446712
S1,39.11614512471655
S2,39.04839002267574
S1,39.91764172335601
S2,39.84961451247165
S1,40.71943310657596
S2,40.65106575963719
S1,41.50843537414966
S2,41.45233560090703
S1,42.31027210884354
S2,42.25392290249433
S1,43.111655328798186
S2,43.055192743764174
S1,43.91353741496599
S2,43.85666666666667
S1,44.71530612244898
S2,44.64718820861678
S1,45.51675736961452
S2,45.44850340136055
S1,46.30605442176871
S2,46.250090702947844
S1,47.10775510204082
S2,47.05145124716553
S1,47.90931972789116
S2,47.852879818594104
S1,48.71106575963719
S2,48.654376417233564
S1,49.5127664399093
S2,49.445419501133784
S1,50.314739229024944
S2,50.24662131519275
S1,51.11632653061225
S2,51.04793650793651
S1,51.905419501133785
S2,51.849410430839
S1,52.707074829931976
S2,52.65079365079365
S1,53.508911564625855
S2,53.45226757369615
S1,54.31061224489796
S2,54.243038548752835
S1,55.112426303854875
S2,55.044444444444444
S1,55.914081632653065
S2,55.84573696145125
S1,56.71562358276644
S2,56.64716553287982
S1,57.50496598639456
S2,57.448684807256235
S1,58.306757369614516
S2,58.250249433106575
S1,59.108503401360544
S2,59.05185941043084
S1,59.910226757369614
S2,59.842834467120184
S1,60.711882086167805
S2,60.64387755102041
S1,0.5114739229024944
S2,0.3787074829931973
S1,1.9851020408163265
S2,1.8186167800453514
S1,3.4096371882086167
S2,3.2686621315192745
S1,4.160204081632653
S2,4.156575963718821
S1,4.917959183673469
S2,4.9136734693877555
S1,6.250408163265306
S2,6.15859410430839
S1,7.652471655328799
S2,7.608979591836735
S1,9.241609977324263
S2,9.05936507936508
S1,10.594104308390023
S2,10.498934240362813
S1,11.331496598639456
S2,11.223809523809525
S1,12.819705215419502
S2,12.674104308390023
S1,14.15625850340136
S2,14.113832199546486
S1,15.703061224489796
S2,15.563945578231293
S1,17.113310657596372
S2,17.014126984126985
S1,18.50904761904762
S2,18.453582766439908
